url,id,name,author,star_rating,num_ratings,num_reviews,summary,genres,first_published,about_author,community_reviews,kindle_price
"https://www.goodreads.com/book/show/13633706-gulzig","13633706-gulzig","Gulzig","[""Marion Pauw""]",2.88,60,"6","Gulzig bevat alle recente spannende verhalen die niet eerder in boekvorm gepubliceerd zijn van Marion Pauw, een van Nederlands beste thrillerauteurs.In 'Gulzig', het titelverhaal, voert een man zijn echtgenote een overdaad aan heerlijkheden.Een daad uit liefde of wreedheid? In een ander verhaal benijden twee zussen elkaar, de ene de eeuwige minnares, de andere keurig getrouwd.Hun jaloezie neemt ziekelijke vormen aan. En dan is er nog het verhaal waarin een jonge vrouw op de vlucht is voor de autoriteiten.Ze belandt op de bank van een man wiens motieven wellicht niet helemaal zuiver zijn.","[""Thriller""]","5/1/2012","{""name"":""Marion Pauw"",""num_books"":43,""num_followers"":""130""}","{""1_stars"":{""reviews_num"":2,""reviews_percentage"":3},""2_stars"":{""reviews_num"":17,""reviews_percentage"":28},""3_stars"":{""reviews_num"":27,""reviews_percentage"":45},""4_stars"":{""reviews_num"":14,""reviews_percentage"":23},""5_stars"":{""reviews_num"":0,""reviews_percentage"":0}}",""
"https://www.goodreads.com/book/show/8659397-built-to-love","8659397-built-to-love","Built to Love: Creating Products That Captivate Customers","[""Peter Boatwright""]",3.41,34,"1","Leading companies do more than produce things that work better. Their products and services make customers feel better. They create captivating products that energize the marketplace and set the standard for what customers want and expect. But this isn’t something you can add on after the fact. Your products and services must be built to love from the very start. This book tells you why and shows you how.

Peter Boatwright and Jonathan Cagan have worked with market-leading companies ranging from Fortune 100 corporations to niche firms in a variety of industries. They’ve found that for companies to form deep bonds with customers, emotions must be generated by a product itself—trying to associate emotions with a product simply through advertising is unreliable, expensive, and ultimately ineffective. They marshal stock market data that proves the bottom-line benefit of high-emotion products, as well as data showing that people are willing to pay more for products with emotionally rich features.

After demonstrating that authentic product emotion really does pay off, Boatwright and Cagan move on to how —how emotion can be broken down into its core building blocks, how it can then be used to develop new products and services, and how product touch points, in particular visual touch points, deliver those emotions. Emotion can be built into any product or service—a point vividly illustrated through case studies from a variety of industries.

Emotion is fundamental to all that is human, including the products we enjoy. Built to Love offers a clear method and a set of tools to help you gain loyal, even fanatical customers by going beyond mere efficiency and speaking to people’s deepest needs and wants.","[""Business""]","1/1/2010","{""name"":""Peter Boatwright"",""num_books"":7}","{""1_stars"":{""reviews_num"":1,""reviews_percentage"":2},""2_stars"":{""reviews_num"":5,""reviews_percentage"":14},""3_stars"":{""reviews_num"":12,""reviews_percentage"":35},""4_stars"":{""reviews_num"":11,""reviews_percentage"":32},""5_stars"":{""reviews_num"":5,""reviews_percentage"":14}}","""$27.95"""
"https://www.goodreads.com/book/show/481687.The_Koran_in_3_Hours","481687.The_Koran_in_3_Hours","The Koran, in 3 Hours: An Abridged, Unbiased Adaptation of the Islamic Koran, in English","[""James   Dean""]",0,0,"","""The Koran is culturally important prophetic literature, and is the foundation for the Islamic faith. It also forms the basis of the way of life in all Muslim societies.Title provides a rendition of the Holy Koran, in English, for readers who would like to inform themselves about what the Koran says.It is a 'face value' abridged translation that maintains the original feel of the Koran, in a version that is approximately a tenth of the size.""","","1/1/2005","{""name"":""James   Dean"",""num_books"":17,""num_followers"":""1""}","{""1_stars"":{""reviews_num"":0,""reviews_percentage"":0},""2_stars"":{""reviews_num"":0,""reviews_percentage"":0},""3_stars"":{""reviews_num"":0,""reviews_percentage"":0},""4_stars"":{""reviews_num"":0,""reviews_percentage"":0},""5_stars"":{""reviews_num"":0,""reviews_percentage"":0}}","""$6.99"""
"https://www.goodreads.com/book/show/481469.Live_Bait_Fishing","481469.Live_Bait_Fishing","Live Bait Fishing: Including Dough Bait & Scent","[""Gunnar Miesen""]",4,2,"","Every kid who ever started fishing probably tried to catch a panfish with a worm. That setup has been the tried-and-true method for generations. There are other kinds of live bait that work just as well; maybe even better in some conditions and for certain fish. In addition to the chapter on Worms & Leeches, this book covers Baitfish, Insects, Salamanders & Frogs, Crustaceans and Other Natural Baits (such as salmon eggs and clams). Complete information on how to catch and keep these baits is followed by sections on how to actually use each live bait type. New on the freshwater-fishing scene in recent years is the use of dough baits and scents. Which one to choose, plus how and when to use each is fully explained. Equipment is discussed in  hooks, bobbers, sinkers, rods, and reels. The authors suggest many tips for using different kinds of equipment in various fishing locations and situations. The final chapter matches common freshwater fish species with the best kind of live bait to use, depending on where the fish are and what time of year it is.","","10/1/2004","{""name"":""Gunnar Miesen"",""num_books"":1}","{""1_stars"":{""reviews_num"":0,""reviews_percentage"":0},""2_stars"":{""reviews_num"":0,""reviews_percentage"":0},""3_stars"":{""reviews_num"":0,""reviews_percentage"":0},""4_stars"":{""reviews_num"":2,""reviews_percentage"":100},""5_stars"":{""reviews_num"":0,""reviews_percentage"":0}}",""
"https://www.goodreads.com/book/show/18900414-ultimate-work-from-home-jobs","18900414-ultimate-work-from-home-jobs","ULTIMATE Work from Home JOBS: A step-by-step guide to finding legitimate work at home jobs with well-known companies GET HIRED TO MAKE MONEY ONLINE!","[""K.T. Bell""]",3.41,22,"4","**UPDATED for 2016** Do you sit at work and dream about how wonderful it would be if you could work from the comfort of your own home, avoid hassling with traffic, and stop wasting your precious time commuting? I did too! And now with Ultimate Work from Home Jobs, I lead you through the EXACT steps you need to find a work from home position with a top company.This book is NOT just a list of companies. Each and every company was thoroughly researched and all the details of how to find their hidden work from home jobs is in here!Picture yourself - working from your favorite spot in your house, getting paid the same wage as others that have to drive to the office, and enjoying full benefits from a company that empowers and takes pride in its employees!Don't wait...Get started making your dream come true today!","","5/29/2013","{""name"":""K.T. Bell"",""num_books"":2,""num_followers"":""1""}","{""1_stars"":{""reviews_num"":3,""reviews_percentage"":13},""2_stars"":{""reviews_num"":3,""reviews_percentage"":13},""3_stars"":{""reviews_num"":5,""reviews_percentage"":22},""4_stars"":{""reviews_num"":4,""reviews_percentage"":18},""5_stars"":{""reviews_num"":7,""reviews_percentage"":31}}",""
"https://www.goodreads.com/book/show/6896447-judaism-in-the-first-centuries-of-the-christian-era","6896447-judaism-in-the-first-centuries-of-the-christian-era","Judaism in the first centuries of the Christian era,: The age of the Tannaim","[""George Foot Moore""]",4,6,"1","This magnum opus by author George Foot Moore (a Harvard professor in the history of religion) marks the culmination of a long rise of objective scholarship in the formerly parochial study of the Rabbinic period. The two-volume set provides a systematic account of Tannaitic Judaism, from the time of Herod to that of the Patriarch Judah, who edited and promulgated the Mishnah. It illustrates the complex development of the Jewish religion as both an ethical code and a mode of daily life. A full historical introduction traces this development from the fall of the Kingdom of Judah in 586 BCE, when a scattered people learned to rely on the school and the synagogue as the center of religious, intellectual, and social life.","[""Judaism""]","1/1/1927","{""name"":""George Foot Moore"",""num_books"":179,""num_followers"":""2""}","{""1_stars"":{""reviews_num"":0,""reviews_percentage"":0},""2_stars"":{""reviews_num"":1,""reviews_percentage"":16},""3_stars"":{""reviews_num"":0,""reviews_percentage"":0},""4_stars"":{""reviews_num"":3,""reviews_percentage"":50},""5_stars"":{""reviews_num"":2,""reviews_percentage"":33}}",""
"https://www.goodreads.com/book/show/26802158-her-secret-submission","26802158-her-secret-submission","Her Secret Submission","[""Carolyn Faulkner""]",3.8,55,"9","Lia Keene was the perfect secretary. She knew how her boss liked his coffee, that he hated breakfast meetings and he was allergic to shellfish. He was also ruggedly handsome, wealthy, powerful, and completely off-limits, but that didn't stop him from starring in all her fantasies! She really did not want to go on the mandatory business trip with him, and possibly risk revealing her secret infatuation with him. But how could she refuse to go?  Bryce Tanner had never given his secretary a second glance, until now. She’d always just been there – in her boring work-appropriate business suits, with her hair wadded up in a severe bun – while she quietly and efficiently did whatever was needed without a word of complaint. Until now. He didn’t understand what the big issue was with this trip, but he needed her there. And he always got what he wanted.  It wasn’t until he went to pick her up the next morning to take her to the airport, that he caught a glimpse of the real woman hiding behind the efficient façade. There were a few signs around her apartment that she was interested in a submissive relationship. Would she consider one with him?","[""BDSM"",""Erotica""]","9/21/2015","{""name"":""Carolyn Faulkner"",""num_books"":215,""num_followers"":""341""}","{""1_stars"":{""reviews_num"":1,""reviews_percentage"":1},""2_stars"":{""reviews_num"":6,""reviews_percentage"":10},""3_stars"":{""reviews_num"":15,""reviews_percentage"":27},""4_stars"":{""reviews_num"":14,""reviews_percentage"":25},""5_stars"":{""reviews_num"":19,""reviews_percentage"":34}}","""$4.99"""
"https://www.goodreads.com/book/show/933063.Everything_for_Baby","933063.Everything_for_Baby","Everything for Baby: Simple Handcrafted Projects With Patterns","[""Adelaide D' Andigne""]",3.4,5,"","Whether you're having that nesting feeling or you're looking forward to an addition to your clan, making gifts for babies can occupy your thoughts and your time for nine months and beyond. From the heart of a mother of four children, through the aesthetic and expertise of a top-notch professional children's designer, and infused with the French sense of style, here are thirty-five comfortable and practical gifts for baby, each boasting an elegant, refined, and luxurious style. The projects are organized into five  Mealtime, Bedtime, Bathtime, Clothing, and The Bedroom. Most projects are very easy and can take about an hour to complete. Crafting techniques, including sewing, knitting, woodworking, decorative painting, and applique, produce delightful gifts for a baby such as a cap of boiled wool, little slippers, a simple bodysuit trimmed with lace, kimono pajamas, a quilt, a toy box, and a decorated baby bottle.","","6/1/2003","{""name"":""Adelaide D' Andigne"",""num_books"":5}","{""1_stars"":{""reviews_num"":0,""reviews_percentage"":0},""2_stars"":{""reviews_num"":0,""reviews_percentage"":0},""3_stars"":{""reviews_num"":3,""reviews_percentage"":60},""4_stars"":{""reviews_num"":2,""reviews_percentage"":40},""5_stars"":{""reviews_num"":0,""reviews_percentage"":0}}",""
"https://www.goodreads.com/book/show/19195207-chinese-flash-cards-for-beginners","19195207-chinese-flash-cards-for-beginners","Chinese Flash Cards For Beginners: Book 3 - 250 More Highly Used Chinese Words And Pinyin Organized By Themes [Traditional Chinese Edition]","[""Dongxia Zheng""]",2,1,"","*********** Traditional Chinese Edition ***********Flash cards have been shown to be one of the most effective ways for learning a foreign language.It is especially true for learning the Chinese language. This is the third book of our book series “Chinese Flash Cards for Beginners”.Expanding Book One and Book Two of this series, we collected 250 more highly used Chinese words. These words were organized into the following 12  Adjectives (3), Computer and Internet, Greetings, Hobbies, Holidays, Money, On the Road, People, Pronouns, Time and Day (3), Verbs, Other Common Words.The Chinese words were presented in Traditional Chinese form. One Chinese word will be shown at at time. When the flash card is flipped, the reader will see the English translation and Pinyin for the Chinese word.The flash cards were designed such that you can pick a random word to test yourself using the ""Random"" link, or you can pick an adjacent word using the ""Previous"" or ""Next"" link. To flip a flash card to see the English translation and pinyin for the Chinese word, simply click on the ""Flip"" link.*********** Again this is the ""Traditional Chinese"" Edition. *********** *********** The Chinese words were presented in Traditional Chinese format. ***********","","12/29/2012","{""name"":""Dongxia Zheng"",""num_books"":34,""num_followers"":""1""}","{""1_stars"":{""reviews_num"":0,""reviews_percentage"":0},""2_stars"":{""reviews_num"":1,""reviews_percentage"":100},""3_stars"":{""reviews_num"":0,""reviews_percentage"":0},""4_stars"":{""reviews_num"":0,""reviews_percentage"":0},""5_stars"":{""reviews_num"":0,""reviews_percentage"":0}}","""$2.99"""
"https://www.goodreads.com/book/show/556094.Introduction_to_Special_Relativity","556094.Introduction_to_Special_Relativity","Introduction to Special Relativity","[""Wolfgang Rindler""]",3.97,32,"1","This textbook offers a concise but thorough treatment of the theory of special relativity for advanced undergraduate and beginning graduate students. Assuming no prior knowledge of relativity, the author elaborates the underlying logic and describes the subtleties and apparent paradoxes. The text also contains a large number of problems which cover the basic modes of thinking and calculating in special relativity. Emphasis is placed on developing the student's intuitive understanding of space-time geometry along with the necessary methods of four-tensor calculus, though three-dimensional methods are also described. This updated new edition contains additional examples and problems, and the chapter on relativistic mechanics of continua has been substantially rewritten.","[""Physics"",""Nonfiction"",""Science"",""Textbooks"",""Reference"",""Mathematics""]","8/19/1982","{""name"":""Wolfgang Rindler"",""num_books"":11,""num_followers"":""11""}","{""1_stars"":{""reviews_num"":1,""reviews_percentage"":3},""2_stars"":{""reviews_num"":1,""reviews_percentage"":3},""3_stars"":{""reviews_num"":7,""reviews_percentage"":21},""4_stars"":{""reviews_num"":12,""reviews_percentage"":37},""5_stars"":{""reviews_num"":11,""reviews_percentage"":34}}",""
